case_id,n,detectors,azimuths,error
1,2,242.9378501058 224.6155593796;299.1142608211 192.6953471415,337.1029058898;143.1424147494,1.0000000000
2,2,40.3225741381 418.5753454225;352.5291866587 25.2533028262,308.4632042234;123.0870193374,1.0000000000
3,2,348.4238884675 85.6148354856;327.8374522243 271.1844915778,97.1110506555;279.5156813753,1.0000000000
4,2,445.3020836160 262.4813114486;411.0209168511 138.0651243973,259.9837664246;73.1348767519,1.0000000000
5,2,40.6951038090 184.0526519676;398.3010633968 166.8760400811,3.8717015186;172.3465982291,1.0000000000
6,3,148.2422918757 80.6805226246;338.8394184052 32.0923160901;69.8065284251 327.1664903514,61.7316804064;143.4124872029;303.5300537495,1.0000000000
7,2,185.3799070519 211.6809340053;435.7108273125 451.4085367803,44.9681141639;216.9727632228,1.0000000000
8,2,365.9561575458 300.0541251554;118.8789934685 7.8184134885,228.6741442079;57.1185687088,1.0000000000
9,2,356.0065071101 189.9867201896;115.9198384915 91.7955551524,194.5649113246;24.5557296551,1.0000000000
10,3,475.0871729227 44.0647034705;95.4562821282 298.9546547980;383.5536618511 249.3987340693,129.4407462683;339.8018513238;211.9992277778,1.0000000000
11,2,355.5484028738 40.1713214139;90.0124707544 44.8716410426,169.4476274663;3.2470240886,1.0000000000
12,2,133.4749253083 107.8224107684;172.3968754576 151.8000774165,56.7158768257;229.3696670260,1.0000000000
13,2,79.8918324976 192.0949042852;102.6595152221 175.2184927651,318.9530231675;150.8096209333,1.0000000000
14,2,464.6664415372 311.6255014745;84.0542573937 259.0890018728,194.9345769047;5.7054822415,1.0000000000
15,3,254.7206708769 489.2172714191;297.9777576076 323.3018134224;72.9134923739 56.4627949305,253.6158884730;201.5705719685;61.7924501609,1.0000000000
16,3,137.7694559143 10.3886409719;491.5025313321 400.2508951090;93.6972332413 487.0538504010,71.2656538763;202.7347687278;304.7961074389,1.0000000000
17,2,74.4140918445 461.2680881544;287.0868444192 155.3499070590,305.6853995559;121.3130134371,1.0000000000
18,2,436.7195879860 470.3980255581;275.7122412049 493.4943542611,179.0392439523;351.4022490989,1.0000000000
19,3,1.8352992077 299.6423061050;21.7046972316 359.9296107879;84.9213693039 306.3128065178,35.6783859162;282.1819761946;164.1923063428,1.0000000000
20,3,82.9725630371 11.8119674103;330.0324897645 263.6812701643;246.1073135119 153.4761626701,42.2320763172;232.7879792858;206.9062466033,1.0000000000
21,2,302.8993948183 281.9972402918;332.9038765004 191.6158302243,287.1188009074;113.4327243028,1.0000000000
22,3,116.2463736616 297.9720956874;82.1700418850 188.3463925412;84.5655297154 205.1255396536,248.6672197972;80.2056294991;76.0342464131,1.0000000000
23,2,206.4359602208 390.6398310730;244.8826972408 491.0382385735,67.3091510539;255.2119199027,1.0000000000
24,2,104.2334379720 70.5089096156;133.9995842862 129.0732170731,70.2533648438;239.7108480172,1.0000000000
25,2,264.0121295768 449.5442207275;300.5897825461 162.1058877978,268.4467521521;101.7280391755,1.0000000000
26,2,1.6474814537 309.2200445843;84.1944363782 384.9907382654,38.6011935199;225.7368673520,1.0000000000
27,2,74.8672181940 28.2495845800;438.9983683815 145.0619567050,15.5917966626;199.1671531352,1.0000000000
28,3,175.5893120120 91.1583577372;133.3387026793 40.1030846991;183.5103085383 435.5708175663,104.5863802062;76.8668312702;264.1775074118,1.0000000000
29,4,112.9142525324 237.8302010621;26.8086329815 429.4537401986;185.8048660095 189.5329389347;315.5008662031 384.4394686346,51.0371630394;315.3386155549;104.8893364233;208.3714810385,1.0000000000
30,4,378.1890995370 137.2055873889;316.8725237720 30.1077217950;312.3529697172 311.3300993447;142.8315631453 31.1171456773,178.2504817279;115.8044083305;255.2130449776;42.8790314514,1.0000000000
31,2,267.5375455521 337.9964179555;425.6453568241 278.1567268519,332.4961277217;164.0093306383,1.0000000000
32,3,486.2033000429 176.2671907740;214.0647978810 86.8033103459;131.4316214041 32.0363034462,200.0711063927;15.6835262622;23.2357828734,1.0000000000
33,2,396.7720481397 69.0497370437;252.0768045697 382.6242897272,105.3530242825;299.5352182946,1.0000000000
34,2,66.2222678722 350.3725190715;337.1263667451 82.8664267710,323.2041175690;131.5631213062,1.0000000000
35,4,338.7483247684 40.4235622562;89.4157163404 106.8807780457;450.7477184583 246.1218779793;132.4201647106 140.4253694274,123.0104025531;10.0697334632;209.0051356340;1.4089219423,1.0000000000
36,2,211.1646765739 16.6037998563;316.6362782086 31.5942248473,7.4018367680;186.7679142135,1.0000000000
37,2,27.4708581422 159.1370929512;430.5685603547 425.5014916808,25.5960851278;217.0513764963,1.0000000000
38,2,291.0708772498 35.1243705048;179.8440412821 421.0928681376,96.1325311090;294.8473699281,1.0000000000
39,2,78.9423186523 316.5008669382;430.7510389649 402.2189123461,13.0451588586;187.2083903539,1.0000000000
40,2,115.6495881179 335.0320901170;199.6255642535 75.1799617109,287.7184519429;105.4823462783,1.0000000000
41,2,147.6148961564 106.5106156625;225.9857055377 328.8867739155,67.3101744096;260.1478867641,1.0000000000
42,3,262.4569441214 451.6102914427;411.7459414078 357.7955913998;44.6216101747 204.4494012547,261.9783827807;180.8593969546;36.0827096321,1.0000000000
43,2,302.2496386330 357.0900014258;289.9502839995 266.0637329716,256.5850942053;91.7322354167,1.0000000000
44,4,125.3394263440 59.6378600155;2.7839951605 463.5423778798;65.4265328328 241.5029268852;332.3779894182 419.6384761479,91.6095347436;304.7855856873;47.7837640630;210.5668626201,1.0000000000
45,2,13.3729272870 88.3141572507;137.9669982149 255.7604376209,53.5093511952;233.6691536543,1.0000000000
46,2,56.7846008078 325.0373441701;215.3290781322 402.6225098389,33.0370731861;200.4559092694,1.0000000000
47,2,303.9862594253 496.9203878429;497.9513102691 21.1757104418,298.5275933203;111.3582979154,1.0000000000
48,3,36.9897242244 491.8352123960;243.1468919375 12.1670701706;459.5336946575 345.9002253767,306.0865756549;97.9670689528;195.6230481475,1.0000000000
49,2,397.7193813645 266.5499669108;305.3490558003 334.1151837764,136.9958172084;332.4277119135,1.0000000000
50,2,394.9586759188 287.0627064841;340.9645301043 240.9944401147,227.8761526280;34.6703843392,1.0000000000
51,4,82.7441343492 98.9964409075;5.9587579332 317.8446344897;370.9945672952 426.7737634764;333.6420311752 193.0591236934,48.3908095125;345.7386917739;230.9310549232;144.8569578864,1.0000000000
52,2,149.7087991301 449.0891729268;18.8927254587 160.8608569216,250.1879659278;56.6805514441,1.0000000000
53,2,343.8912875429 214.9450200189;235.4837310714 154.1826566195,215.3859511248;28.2118199698,1.0000000000
54,2,492.0007163356 18.3860613175;204.7100818382 111.3066168753,171.0504369994;341.1504708331,1.0000000000
55,2,419.6707104334 458.7642882957;252.8423490651 383.2956763989,205.2517787374;14.7976058746,1.0000000000
56,2,248.5532795096 190.0144426453;180.0400912349 94.1544997868,237.2177425331;52.4391526675,1.0000000000
57,2,473.8729883553 0.5640311764;113.6933017504 123.4343192819,151.3207048420;344.7224272616,1.0000000000
58,3,376.1797480181 444.1948595080;197.4152972217 408.8762979105;125.4916319547 353.9406962516,195.2828342200;347.6136661540;29.0523332077,1.0000000000
59,2,81.4930202104 77.7199438370;486.9112943620 32.0458219561,354.7324928411;166.8281424189,1.0000000000
60,2,141.9314372600 218.0831464224;50.7052170836 270.8481720353,152.1781536718;328.0537053072,1.0000000000
61,2,144.1987271106 416.2131307082;118.4912851113 47.0777173395,270.4972822073;76.0315319327,1.0000000000
62,2,342.0391906586 308.6703259480;132.1081644654 280.8028289314,188.8122615868;2.3211915360,1.0000000000
63,3,456.1101453786 90.2029742065;278.5527487328 9.4733333669;496.4837367523 68.1640895143,224.8331261601;18.1518970210;189.3515655275,1.0000000000
64,2,114.6009800040 459.9908650537;275.4124875562 16.9361617253,299.2921932327;104.8468630848,1.0000000000
65,2,4.0879121962 265.0736962867;232.6511752375 474.5866762463,46.6948754368;217.8328259064,1.0000000000
66,2,377.9888966125 129.8176331510;265.2542490584 341.2856712021,116.6521905513;306.4647971985,1.0000000000
67,3,276.2134802554 348.3244754204;92.2357893283 16.2907631769;384.1221280109 82.8478826200,262.8620637168;38.5184988550;156.5150949242,1.0000000000
68,2,377.3084135108 201.4958659741;260.4373806030 284.5495719424,141.1573856890;333.5270653415,1.0000000000
69,3,223.2015233606 48.3867086725;112.8131572034 267.6198904930;456.1651553404 410.9411449239,83.9787871380;347.2484549715;217.6950661372,1.0000000000
70,2,402.4971584208 330.2798365960;396.1158860801 84.3075311296,275.6322036163;86.7195729080,1.0000000000
71,2,318.6690002951 306.9606236000;178.2200571123 322.5248776905,170.1759808542;353.3607472919,1.0000000000
72,2,23.2229149234 154.6420424517;183.3601936031 322.4018519909,47.0738515971;218.2062034464,1.0000000000
73,2,484.2044391137 459.2993508058;248.7947361666 10.6739755045,233.6633101557;66.0889723305,1.0000000000
