case_id,nverts,D,R,dmax,cover
1,4,9.3467136672,4.6733568336,4.6733568336,1
2,3,95.5749085569,47.7874542785,47.7874542785,1
3,3,17.0290416705,8.5145208352,8.5145208352,1
4,4,37.7679398648,18.8839699324,18.8839699324,1
5,4,62.5366765897,31.2683382948,31.2683382948,1
6,4,4.5548462187,2.2774231094,2.2774231094,1
7,4,86.9659523749,43.4829761875,43.4829761875,1
8,4,90.9469448087,45.4734724043,45.4734724043,1
9,4,52.1791326944,26.0895663472,26.0895663472,1
10,4,4.3218959682,2.1609479841,2.1609479841,1
11,4,38.8579430855,19.4289715427,19.4289715427,1
12,3,0.9639631008,0.4819815504,0.4819815504,1
13,4,4.8138480675,2.4069240337,2.4069240337,1
14,4,83.6071423792,41.8035711896,41.8035711896,1
15,4,13.2149485773,6.6074742887,6.6074742887,1
16,5,11.7965196270,5.8982598135,7.2759413030,0
17,3,160.2035111710,80.1017555855,80.1017555855,1
18,3,30.6383227549,15.3191613774,15.3191613774,1
19,3,0.7328088936,0.3664044468,0.5569023694,0
20,4,1.7795193840,0.8897596920,0.8897596920,1
21,4,30.2206062951,15.1103031475,15.1103031475,1
22,3,0.9099383014,0.4549691507,0.4549691507,1
23,4,27.2886230340,13.6443115170,13.6443115170,1
24,4,12.5308814713,6.2654407356,6.2654407356,1
25,4,44.0180498861,22.0090249431,22.0090249431,1
26,4,31.4805166217,15.7402583108,15.7402583108,1
27,4,214.0091870161,107.0045935080,107.0045935080,1
28,4,10.3140186357,5.1570093179,5.1570093179,1
29,3,1.5327203403,0.7663601701,0.7663601701,1
30,4,3.2601134511,1.6300567256,1.6300567256,1
31,4,29.5593424773,14.7796712387,14.7796712387,1
32,4,91.2788590830,45.6394295415,45.6394295415,1
33,4,49.1926341199,24.5963170600,24.5963170600,1
34,4,65.8492155395,32.9246077697,32.9246077697,1
35,3,1.1835545586,0.5917772793,0.5917772793,1
36,3,52.5509195392,26.2754597696,26.2754597696,1
37,4,84.9020956224,42.4510478112,42.4510478112,1
38,4,43.6899028362,21.8449514181,21.8449514181,1
39,3,21.8671317252,10.9335658626,10.9335658626,1
40,3,98.8530232551,49.4265116275,49.4265116275,1
41,4,37.0343454913,18.5171727456,18.5171727456,1
42,5,7.1457084512,3.5728542256,3.5728542256,1
43,4,12.2680979995,6.1340489998,6.1340489998,1
44,3,5.1431145433,2.5715572717,2.6790233769,0
45,4,208.7149714807,104.3574857404,104.3574857404,1
46,4,28.2804393558,14.1402196779,14.1402196779,1
47,3,130.9471475908,65.4735737954,65.4735737954,1
48,3,4.8404432171,2.4202216086,2.6945711166,0
49,4,15.0098927152,7.5049463576,7.5049463576,1
50,4,10.8428698386,5.4214349193,5.4214349193,1
51,4,3.1263188326,1.5631594163,1.5631594163,1
52,4,47.2942802185,23.6471401092,23.6471401092,1
53,4,34.7289371462,17.3644685731,17.3644685731,1
54,3,59.0358082534,29.5179041267,29.5179041267,1
55,3,33.6526351407,16.8263175704,16.8263175704,1
56,4,49.3617111460,24.6808555730,24.6808555730,1
57,4,57.3023707899,28.6511853949,28.6511853949,1
58,4,1.9647023395,0.9823511697,0.9823511697,1
59,4,103.5371269924,51.7685634962,51.7685634962,1
60,4,51.1372251412,25.5686125706,25.5686125706,1
61,4,51.6964753200,25.8482376600,25.8482376600,1
62,4,65.3769524469,32.6884762234,32.6884762234,1
63,4,7.1839101446,3.5919550723,3.5919550723,1
64,4,65.9410419696,32.9705209848,32.9705209848,1
65,4,70.2401763805,35.1200881902,35.1200881902,1
66,4,49.0731265106,24.5365632553,24.5365632553,1
67,6,7.9546933266,3.9773466633,4.4167073562,0
68,4,23.3582112587,11.6791056294,11.6791056294,1
69,3,4.4965170842,2.2482585421,2.5285491410,0
70,4,55.4269611406,27.7134805703,27.7134805703,1
71,3,30.3793286896,15.1896643448,15.1896643448,1
72,3,45.7389219001,22.8694609500,22.8694609500,1
73,4,82.1731608329,41.0865804165,41.0865804165,1
74,4,37.0658676282,18.5329338141,18.5329338141,1
75,3,75.6969222188,37.8484611094,37.8484611094,1
76,4,16.2984671851,8.1492335925,8.1492335925,1
77,4,37.5403992303,18.7701996152,18.7701996152,1
78,4,16.1833534312,8.0916767156,8.0916767156,1
79,3,269.0304406488,134.5152203244,134.5152203244,1
80,4,1.6907207076,0.8453603538,0.9823271788,0
81,4,50.1763504796,25.0881752398,25.0881752398,1
82,4,50.9288950467,25.4644475234,25.4644475234,1
83,4,51.3431943583,25.6715971792,25.6715971792,1
84,4,65.5535211637,32.7767605819,32.7767605819,1
85,3,1.2578682519,0.6289341260,0.6289341260,1
86,4,60.5019394237,30.2509697118,30.2509697118,1
87,4,212.2585860564,106.1292930282,106.1292930282,1
88,4,62.0491063059,31.0245531530,31.0245531530,1
89,4,50.9554791602,25.4777395801,25.4777395801,1
90,4,62.4794987073,31.2397493536,31.2397493536,1
91,3,4.8573579481,2.4286789740,2.4286789740,1
92,4,65.5311357974,32.7655678987,32.7655678987,1
93,4,28.5689574240,14.2844787120,14.2844787120,1
94,4,2.6218299695,1.3109149848,1.3109149848,1
95,5,11.9490858074,5.9745429037,5.9745429037,1
96,4,116.7886411102,58.3943205551,58.3943205551,1
97,4,6.1148653356,3.0574326678,3.0574326678,1
98,5,6.2829423048,3.1414711524,3.1636126934,0
99,4,25.9819447121,12.9909723560,12.9909723560,1
100,4,68.9383755363,34.4691877681,34.4691877681,1
101,3,139.7374035701,69.8687017851,69.8687017851,1
102,4,61.1020281969,30.5510140984,30.5510140984,1
103,4,18.4915464593,9.2457732297,9.2457732297,1
104,3,42.0225189415,21.0112594708,21.0112594708,1
105,4,54.9175843427,27.4587921713,27.4587921713,1
106,4,7.6765407015,3.8382703508,3.8382703508,1
107,4,95.8055006392,47.9027503196,47.9027503196,1
108,4,87.8376697083,43.9188348541,43.9188348541,1
109,4,27.4512236062,13.7256118031,13.7256118031,1
110,4,67.1881031091,33.5940515546,33.5940515546,1
111,3,58.1413928191,29.0706964096,29.0706964096,1
112,4,71.6801808392,35.8400904196,35.8400904196,1
113,4,20.0438251579,10.0219125789,10.0219125789,1
114,3,1.6718335257,0.8359167629,0.8359167629,1
115,3,15.6699883975,7.8349941988,7.8349941988,1
116,4,15.6460633054,7.8230316527,7.8230316527,1
117,4,4.8574080719,2.4287040359,2.4287040359,1
118,3,132.9561186928,66.4780593464,66.4780593464,1
119,4,16.5401242320,8.2700621160,8.2700621160,1
120,5,2.2503909739,1.1251954870,1.1251954870,1
121,4,3.8113420855,1.9056710428,1.9056710428,1
122,3,1.6350344544,0.8175172272,0.8175172272,1
123,4,8.1545140813,4.0772570406,4.0772570406,1
124,4,161.1277524952,80.5638762476,80.5638762476,1
125,4,26.9665790209,13.4832895105,13.4832895105,1
126,3,85.4223192117,42.7111596058,42.7111596058,1
127,3,127.2809121282,63.6404560641,63.6404560641,1
128,4,80.4801131106,40.2400565553,40.2400565553,1
129,3,43.8616345370,21.9308172685,21.9308172685,1
130,4,39.4393779597,19.7196889798,19.7196889798,1
131,4,80.5767214296,40.2883607148,40.2883607148,1
132,3,6.2336208229,3.1168104115,3.1168104115,1
133,4,5.4734039456,2.7367019728,3.2568045475,0
134,3,120.2033447965,60.1016723982,60.1016723982,1
135,3,1.1210615925,0.5605307963,0.5605307963,1
136,3,158.7988510926,79.3994255463,79.3994255463,1
137,3,7.7880927294,3.8940463647,3.8940463647,1
138,4,44.3797813259,22.1898906629,22.1898906629,1
139,3,26.3817841597,13.1908920798,13.1908920798,1
140,4,7.6571489935,3.8285744967,3.8285744967,1
141,4,26.6405259230,13.3202629615,13.3202629615,1
142,3,105.2323667936,52.6161833968,52.6161833968,1
143,4,3.4698627362,1.7349313681,2.2718716098,0
144,3,135.8588250949,67.9294125474,67.9294125474,1
145,4,28.4855706372,14.2427853186,14.2427853186,1
146,4,8.2153235808,4.1076617904,4.1076617904,1
147,4,27.7343793375,13.8671896687,13.8671896687,1
148,4,14.9232488430,7.4616244215,7.4616244215,1
149,3,90.2405697422,45.1202848711,45.1202848711,1
150,3,57.1856831630,28.5928415815,28.5928415815,1
151,4,9.4709818234,4.7354909117,4.7354909117,1
152,4,64.5062234186,32.2531117093,32.2531117093,1
153,4,18.7329752547,9.3664876273,9.3664876273,1
154,3,165.2644092652,82.6322046326,82.6322046326,1
155,4,124.0210883673,62.0105441836,62.0105441836,1
156,4,172.2904933204,86.1452466602,86.1452466602,1
157,3,31.5703448470,15.7851724235,15.7851724235,1
158,3,11.3196957816,5.6598478908,5.6598478908,1
159,4,54.3246160412,27.1623080206,27.1623080206,1
160,4,165.2163867121,82.6081933561,82.6081933561,1
161,4,38.5487152212,19.2743576106,19.2743576106,1
162,3,14.8634199289,7.4317099645,7.4317099645,1
163,4,46.2319562099,23.1159781049,23.1159781049,1
164,3,238.2602575162,119.1301287581,119.1301287581,1
165,3,24.0904429255,12.0452214628,12.0452214628,1
