case_id,nverts,D,R,dmax,cover,dmax_minus_R,dmax_worst,cover_worst,cx,cy
1,4,9.3467136679,4.6733568340,4.6733568340,1,0.0000000000,4.6733568340,1,274.0395703115,211.3916944080
2,3,95.5749085613,47.7874542806,47.7874542806,1,0.0000000000,47.7874542806,1,325.7466420220,64.8302669515
3,3,17.0290416716,8.5145208358,8.5145208358,1,0.0000000000,8.5145208358,1,329.0982832440,262.7638401660
4,4,37.7679398651,18.8839699325,18.8839699325,1,0.0000000000,18.8839699325,1,440.1822954825,235.3881298980
5,4,62.5366765893,31.2683382946,31.2683382946,1,0.0000000000,31.2683382946,1,193.5031137525,193.8491993800
6,4,4.5548462186,2.2774231093,2.2774231093,1,0.0000000000,2.2774231093,1,184.7698362605,148.6771607145
7,4,86.9659523752,43.4829761876,43.4829761876,1,0.0000000000,43.4829761876,1,394.2224716250,419.2259114030
8,4,90.9469448084,45.4734724042,45.4734724042,1,0.0000000000,45.4734724042,1,147.0001672100,49.8562750765
9,4,52.1791326945,26.0895663472,26.0895663472,1,0.0000000000,26.0895663472,1,297.7609776975,174.3828478210
10,4,4.3218959679,2.1609479840,2.1609479840,1,0.0000000000,2.1609479840,1,330.5111865410,216.2934990945
11,4,38.8579430868,19.4289715434,19.4289715434,1,0.0000000000,19.4289715434,1,274.1805842715,54.9848847400
12,3,0.9639630979,0.4819815489,0.4819815489,1,0.0000000000,0.4819815489,1,133.7464241240,108.2206501540
13,4,4.8138480679,2.4069240339,2.4069240339,1,0.0000000000,2.4069240339,1,93.2360187185,180.5310068640
14,4,83.6071423787,41.8035711894,41.8035711894,1,0.0000000000,41.8035711894,1,377.5254304205,289.1374116775
15,4,13.2149485765,6.6074742882,6.6074742882,1,0.0000000000,6.6074742882,1,193.6829488350,281.9520822165
16,5,11.7965196272,5.8982598136,7.2759413031,0,1.3776814895,7.2759413031,0,230.0910698595,290.6529089500
17,3,160.2035111731,80.1017555866,80.1017555866,1,0.0000000000,80.1017555866,1,244.2689061355,223.0471404530
18,3,30.6383227536,15.3191613768,15.3191613768,1,0.0000000000,15.3191613768,1,421.4093960305,470.9221701995
19,3,0.7328088934,0.3664044467,0.5569023693,0,0.1904979226,0.5569023693,0,30.5647546885,320.6822523790
20,4,1.7795193835,0.8897596917,0.8897596917,1,0.0000000000,0.8897596917,1,241.9984941890,151.3737317635
21,4,30.2206062935,15.1103031467,15.1103031467,1,0.0000000000,15.1103031467,1,325.6591837355,208.9942095690
22,3,0.9099382992,0.4549691496,0.4549691496,1,0.0000000000,0.4549691496,1,89.1379715755,224.9851102620
23,4,27.2886230335,13.6443115167,13.6443115167,1,0.0000000000,13.6443115167,1,238.6050008845,468.1907270605
24,4,12.5308814716,6.2654407358,6.2654407358,1,0.0000000000,6.2654407358,1,111.4155899760,90.1934123995
25,4,44.0180498861,22.0090249430,22.0090249430,1,0.0000000000,22.0090249430,1,261.7277546990,351.1698409490
26,4,31.4805166221,15.7402583111,15.7402583111,1,0.0000000000,15.7402583111,1,40.6647697890,340.7194840110
27,4,214.0091870203,107.0045935101,107.0045935101,1,0.0000000000,107.0045935101,1,216.6767476060,69.7601978805
28,4,10.3140186371,5.1570093185,5.1570093185,1,0.0000000000,5.1570093185,1,159.1997446830,154.4888101275
