序号,指令,位置参数,频道参数,移动距离(米),移动耗时(秒),切换频道耗时(秒),检测/清除耗时(秒),指令总耗时(秒),虚拟世界时刻(秒)
1,POST /enter,-,-,0.0,0.0,0.0,0.0,0.0,0.0
2,POST /measure,"(0.000, 0.000)",1,0.0,0.0,0.0,5.0,5.0,5.0
3,POST /measure,"(0.000, 0.000)",2,0.0,0.0,1.0,5.0,6.0,11.0
4,POST /measure,"(0.000, 0.000)",3,0.0,0.0,1.0,5.0,6.0,17.0
5,POST /measure,"(0.000, 0.000)",4,0.0,0.0,1.0,5.0,6.0,23.0
6,POST /measure,"(0.000, 0.000)",5,0.0,0.0,1.0,5.0,6.0,29.0
7,POST /measure,"(0.000, 0.000)",6,0.0,0.0,1.0,5.0,6.0,35.0
8,POST /measure,"(0.000, 0.000)",7,0.0,0.0,1.0,5.0,6.0,41.0
9,POST /measure,"(0.000, 0.000)",8,0.0,0.0,1.0,5.0,6.0,47.0
10,POST /measure,"(0.000, 0.000)",9,0.0,0.0,1.0,5.0,6.0,53.0
11,POST /measure,"(0.000, 0.000)",10,0.0,0.0,1.0,5.0,6.0,59.0
12,POST /measure,"(0.000, 0.000)",11,0.0,0.0,1.0,5.0,6.0,65.0
13,POST /measure,"(0.000, 0.000)",12,0.0,0.0,1.0,5.0,6.0,71.0
14,POST /measure,"(0.000, 0.000)",13,0.0,0.0,1.0,5.0,6.0,77.0
15,POST /measure,"(0.000, 0.000)",14,0.0,0.0,1.0,5.0,6.0,83.0
16,POST /measure,"(0.000, 0.000)",15,0.0,0.0,1.0,5.0,6.0,89.0
17,POST /measure,"(0.000, 0.000)",16,0.0,0.0,1.0,5.0,6.0,95.0
18,POST /measure,"(0.000, 0.000)",17,0.0,0.0,1.0,5.0,6.0,101.0
19,POST /measure,"(0.000, 0.000)",18,0.0,0.0,1.0,5.0,6.0,107.0
20,POST /measure,"(0.000, 0.000)",19,0.0,0.0,1.0,5.0,6.0,113.0
21,POST /measure,"(0.000, 0.000)",20,0.0,0.0,1.0,5.0,6.0,119.0
22,POST /measure,"(1200.000, 0.000)",1,1200.0,240.0,1.0,5.0,246.0,365.0
23,POST /measure,"(1200.000, 0.000)",2,0.0,0.0,1.0,5.0,6.0,371.0
24,POST /measure,"(1200.000, 0.000)",3,0.0,0.0,1.0,5.0,6.0,377.0
25,POST /measure,"(1200.000, 0.000)",4,0.0,0.0,1.0,5.0,6.0,383.0
26,POST /measure,"(1200.000, 0.000)",5,0.0,0.0,1.0,5.0,6.0,389.0
27,POST /measure,"(1200.000, 0.000)",6,0.0,0.0,1.0,5.0,6.0,395.0
28,POST /measure,"(1200.000, 0.000)",7,0.0,0.0,1.0,5.0,6.0,401.0
29,POST /measure,"(1200.000, 0.000)",8,0.0,0.0,1.0,5.0,6.0,407.0
30,POST /measure,"(1200.000, 0.000)",9,0.0,0.0,1.0,5.0,6.0,413.0
31,POST /measure,"(1200.000, 0.000)",10,0.0,0.0,1.0,5.0,6.0,419.0
32,POST /measure,"(1200.000, 0.000)",11,0.0,0.0,1.0,5.0,6.0,425.0
33,POST /measure,"(1200.000, 0.000)",12,0.0,0.0,1.0,5.0,6.0,431.0
34,POST /measure,"(1200.000, 0.000)",13,0.0,0.0,1.0,5.0,6.0,437.0
35,POST /measure,"(1200.000, 0.000)",14,0.0,0.0,1.0,5.0,6.0,443.0
36,POST /measure,"(1200.000, 0.000)",15,0.0,0.0,1.0,5.0,6.0,449.0
37,POST /measure,"(1200.000, 0.000)",16,0.0,0.0,1.0,5.0,6.0,455.0
38,POST /measure,"(1200.000, 0.000)",17,0.0,0.0,1.0,5.0,6.0,461.0
39,POST /measure,"(1200.000, 0.000)",18,0.0,0.0,1.0,5.0,6.0,467.0
40,POST /measure,"(1200.000, 0.000)",19,0.0,0.0,1.0,5.0,6.0,473.0
41,POST /measure,"(1200.000, 0.000)",20,0.0,0.0,1.0,5.0,6.0,479.0
42,POST /measure,"(848.528, 848.528)",1,918.44,183.688,1.0,5.0,189.688,668.688
43,POST /measure,"(848.528, 848.528)",2,0.0,0.0,1.0,5.0,6.0,674.688
44,POST /measure,"(848.528, 848.528)",3,0.0,0.0,1.0,5.0,6.0,680.688
45,POST /measure,"(848.528, 848.528)",4,0.0,0.0,1.0,5.0,6.0,686.688
46,POST /measure,"(848.528, 848.528)",5,0.0,0.0,1.0,5.0,6.0,692.688
47,POST /measure,"(848.528, 848.528)",6,0.0,0.0,1.0,5.0,6.0,698.688
48,POST /measure,"(848.528, 848.528)",7,0.0,0.0,1.0,5.0,6.0,704.688
49,POST /measure,"(848.528, 848.528)",8,0.0,0.0,1.0,5.0,6.0,710.688
50,POST /measure,"(848.528, 848.528)",9,0.0,0.0,1.0,5.0,6.0,716.688
51,POST /measure,"(848.528, 848.528)",10,0.0,0.0,1.0,5.0,6.0,722.688
52,POST /measure,"(848.528, 848.528)",11,0.0,0.0,1.0,5.0,6.0,728.688
53,POST /measure,"(848.528, 848.528)",12,0.0,0.0,1.0,5.0,6.0,734.688
54,POST /measure,"(848.528, 848.528)",13,0.0,0.0,1.0,5.0,6.0,740.688
55,POST /measure,"(848.528, 848.528)",14,0.0,0.0,1.0,5.0,6.0,746.688
56,POST /measure,"(848.528, 848.528)",15,0.0,0.0,1.0,5.0,6.0,752.688
57,POST /measure,"(848.528, 848.528)",16,0.0,0.0,1.0,5.0,6.0,758.688
58,POST /measure,"(848.528, 848.528)",17,0.0,0.0,1.0,5.0,6.0,764.688
59,POST /measure,"(848.528, 848.528)",18,0.0,0.0,1.0,5.0,6.0,770.688
60,POST /measure,"(848.528, 848.528)",19,0.0,0.0,1.0,5.0,6.0,776.688
61,POST /measure,"(848.528, 848.528)",20,0.0,0.0,1.0,5.0,6.0,782.688
62,POST /measure,"(0.000, 1200.000)",1,918.44,183.688,1.0,5.0,189.688,972.376
63,POST /measure,"(0.000, 1200.000)",2,0.0,0.0,1.0,5.0,6.0,978.376
64,POST /measure,"(0.000, 1200.000)",3,0.0,0.0,1.0,5.0,6.0,984.376
65,POST /measure,"(0.000, 1200.000)",4,0.0,0.0,1.0,5.0,6.0,990.376
66,POST /measure,"(0.000, 1200.000)",5,0.0,0.0,1.0,5.0,6.0,996.376
67,POST /measure,"(0.000, 1200.000)",6,0.0,0.0,1.0,5.0,6.0,1002.376
68,POST /measure,"(0.000, 1200.000)",7,0.0,0.0,1.0,5.0,6.0,1008.376
69,POST /measure,"(0.000, 1200.000)",8,0.0,0.0,1.0,5.0,6.0,1014.376
70,POST /measure,"(0.000, 1200.000)",9,0.0,0.0,1.0,5.0,6.0,1020.376
71,POST /measure,"(0.000, 1200.000)",10,0.0,0.0,1.0,5.0,6.0,1026.376
72,POST /measure,"(0.000, 1200.000)",11,0.0,0.0,1.0,5.0,6.0,1032.376
73,POST /measure,"(0.000, 1200.000)",12,0.0,0.0,1.0,5.0,6.0,1038.376
74,POST /measure,"(0.000, 1200.000)",13,0.0,0.0,1.0,5.0,6.0,1044.376
75,POST /measure,"(0.000, 1200.000)",14,0.0,0.0,1.0,5.0,6.0,1050.376
76,POST /measure,"(0.000, 1200.000)",15,0.0,0.0,1.0,5.0,6.0,1056.376
77,POST /measure,"(0.000, 1200.000)",16,0.0,0.0,1.0,5.0,6.0,1062.376
78,POST /measure,"(0.000, 1200.000)",17,0.0,0.0,1.0,5.0,6.0,1068.376
79,POST /measure,"(0.000, 1200.000)",18,0.0,0.0,1.0,5.0,6.0,1074.376
80,POST /measure,"(0.000, 1200.000)",19,0.0,0.0,1.0,5.0,6.0,1080.376
81,POST /measure,"(0.000, 1200.000)",20,0.0,0.0,1.0,5.0,6.0,1086.376
82,POST /measure,"(-848.528, 848.528)",1,918.44,183.688,1.0,5.0,189.688,1276.064
83,POST /measure,"(-848.528, 848.528)",2,0.0,0.0,1.0,5.0,6.0,1282.064
84,POST /measure,"(-848.528, 848.528)",3,0.0,0.0,1.0,5.0,6.0,1288.064
85,POST /measure,"(-848.528, 848.528)",4,0.0,0.0,1.0,5.0,6.0,1294.064
86,POST /measure,"(-848.528, 848.528)",5,0.0,0.0,1.0,5.0,6.0,1300.064
87,POST /measure,"(-848.528, 848.528)",6,0.0,0.0,1.0,5.0,6.0,1306.064
88,POST /measure,"(-848.528, 848.528)",7,0.0,0.0,1.0,5.0,6.0,1312.064
89,POST /measure,"(-848.528, 848.528)",8,0.0,0.0,1.0,5.0,6.0,1318.064
90,POST /measure,"(-848.528, 848.528)",9,0.0,0.0,1.0,5.0,6.0,1324.064
91,POST /measure,"(-848.528, 848.528)",10,0.0,0.0,1.0,5.0,6.0,1330.064
92,POST /measure,"(-848.528, 848.528)",11,0.0,0.0,1.0,5.0,6.0,1336.064
93,POST /measure,"(-848.528, 848.528)",12,0.0,0.0,1.0,5.0,6.0,1342.064
94,POST /measure,"(-848.528, 848.528)",13,0.0,0.0,1.0,5.0,6.0,1348.064
95,POST /measure,"(-848.528, 848.528)",14,0.0,0.0,1.0,5.0,6.0,1354.064
96,POST /measure,"(-848.528, 848.528)",15,0.0,0.0,1.0,5.0,6.0,1360.064
97,POST /measure,"(-848.528, 848.528)",16,0.0,0.0,1.0,5.0,6.0,1366.064
98,POST /measure,"(-848.528, 848.528)",17,0.0,0.0,1.0,5.0,6.0,1372.064
99,POST /measure,"(-848.528, 848.528)",18,0.0,0.0,1.0,5.0,6.0,1378.064
100,POST /measure,"(-848.528, 848.528)",19,0.0,0.0,1.0,5.0,6.0,1384.064
